incident#,address,date,charges
15011526,CITY HIGH SCHOOL,10/30/2015  12:00,1) Disorderly Conduct
15011935,2115 J ST #4,11/7/2015  09:00,1) Theft 5th Degree
15011937,SCOTT & ROCHESTER,11/8/2015  18:30,1) Drive while license under suspension/cancelled
15011342,CLINTON @ JEFFERSON,10/25/2015  00:08,1) OWI- 2nd Offense
15000605,2937 SIERRA CT,1/13/2015  18:30,1) Sexual Abuse 3rd Degree
15011439,1720 WATERFRONT DR,10/27/2015  18:12,1) Theft 5th Degree
15011430,812 S 1ST AVE,10/27/2015  14:50,1) Theft 5th Degree
15011635,500 E MARKET,11/1/2015  02:30,"1) Interference - Interference with official acts
2) Public Intoxication"
15011634,GOVERNOR/DAVNEPORT ST,11/1/2015  02:20,1) OWI
15011633,MARKET/GILBERT,11/1/2015  01:51,1) Assault Causing Serious Injury
15011632,2165 PLAEN VIEW DR,11/1/2015  01:49,"1) Assault Causing Serious Injury
3) Violate no-contact, domestic abuse protective order"
15011631,100 S LINN ST,11/1/2015  01:45,1) Public Intoxication
15011557,121 E COLLEGE ST,10/31/2015  00:17,1) Public Intoxication- 2nd Offense
15011516,100 E WASHINGTON ST,10/30/2015  01:36,1) OWI
15011517,400 N GOVERNOR ST,10/30/2015  02:51,1) OWI
15011514,125 S DUBUQUE ST,10/30/2015  01:22,1) Theft 4th Degree
15011515,BURLINGTONCLINTON,10/30/2015  01:34,1) Public Intoxication
15011512,UNION BAR,10/30/2015  00:45,1) Presence on premise (licensed liquor establishment)after hours
15011513,UNION BAR,10/13/2015  01:00,1) Presence on premise (licensed liquor establishment)after hours
15011510,800 S GILBERT CT,10/29/2015  23:03,1) OWI- 2nd Offense
15011740,IOWA CITY,11/3/2015  12:00,1) Harassment 3rd Degree
15011923,300 S GILBERT ST,11/8/2015  03:35,1) Public Intoxication
15011690,825 WALNUT ST,10/2/2015  13:55,1) Assault- Domestic Assault w/injury-serious or aggravated
15011921,BURLINGTON / GILBERT,11/8/2015  02:03,1) Public Intoxication
15011597,ARTHUR/WAYNE,10/31/2015  20:07,1) Drive while barred
15011594,BOWERY ST/GILBERT ST,10/31/2015  18:47,1) OWI
