incident,address,date,charges,latitude,longitude
15011937,"Rochester Ave & Scott Blvd, Iowa City, IA 52245, USA",11/8/2015  18:30,1) Drive while license under suspension/cancelled,41.6687353,-91.4835503
15011935,"2115 J St, Iowa City, IA 52240, USA",11/7/2015  09:00,1) Theft 5th Degree,41.645977,-91.50415
15011928,"119 Myrtle Ave, Iowa City, IA 52246, USA",11/8/2015  11:19,1) Assault- Domestic Abuse,41.6532399,-91.541228
15011923,"300 S Gilbert St, Iowa City, IA 52240, USA",11/8/2015  03:35,1) Public Intoxication,41.6578343,-91.5301961
15011922,"Muscatine Ave & S 1st Ave, Iowa City, IA 52240, USA",11/8/2015  03:08,1) Drive while license under suspension/cancelled,41.6495438,-91.501986
15011921,"IA-1 & E Burlington St & S Gilbert St, Iowa City, IA 52240, USA",11/8/2015  02:03,1) Public Intoxication,41.6578464,-91.5302149
15011919,"100 S Clinton St, Iowa City, IA 52240, USA",11/8/2015  01:28,1),41.6600868,-91.5345984
15011916,"Rocky Shore Dr & River St, Iowa City, IA 52246, USA",11/8/2015  01:05,1) OWI,41.6692858,-91.5543882
15011913,"12 S Dubuque St, Iowa City, IA 52240, USA",11/7/2015  23:55,"1) Public Intoxication
2) Disorderly Conduct",41.6607866,-91.5328642
15011910,"S Riverside Dr & Old Hwy 218 S, Iowa City, IA 52246, USA",11/7/2015  21:30,"1) OWI
2) Open container of alcohol in vehicle",41.6353061,-91.5386004
15011906,"211 Iowa Ave, Iowa City, IA 52240, USA",11/7/2015  20:34,1) Public Intoxication,41.6610089,-91.5325797
15011905,"328 E Washington St #2912, Iowa City, IA 52240, USA",11/7/2015  19:23,1) Public Intoxication,41.6605062,-91.5306197
15011902,"E College St & S Linn St, Iowa City, IA 52240, USA",11/7/2015  16:38,1) Disorderly Conduct,41.6589701,-91.5316564
15011901,"812 S 1st Ave, Iowa City, IA 52245, USA",11/7/2015  16:24,1) Theft 5th Degree,41.651404,-91.500895
15011895,"500 S Capitol St, Iowa City, IA 52240, USA",11/7/2015  14:30,1) Possess Controlled Substance - Marijuana,41.6555102,-91.5362022
15011887,"500 S Gilbert St, Iowa City, IA 52240, USA",11/7/2015  10:30,1) Public Intoxication,41.655187,-91.529812
15011880,"2112 Taylor Dr, Iowa City, IA 52240, USA",11/7/2015  03:22,"1) Trespass - Criminal trespass
2) Public Intoxication",41.6383652,-91.5183292
15011876,"S Madison St & W Burlington St, Iowa City, IA 52242, USA",11/7/2015  03:40,"1) Possess Controlled Substance - Marijuana
2) OWI",41.6579053,-91.5377244
15011873,"124 S Dubuque St, Iowa City, IA 52240, USA",11/7/2015  01:38,1) Public Intoxication,41.659315,-91.532821
15011870,"10 2nd St, Iowa City, IA 52246, USA",11/7/2015  00:00,"1) Interference - Interference with official acts
2) Burglary- Attempted",41.6683077,-91.5640156
15011869,"58 Kenneth Dr, Iowa City, IA 52245, USA",11/6/2015  23:24,1) Assault- Domestic Abuse,41.6586799,-91.4729289
15011862,"Grand Ave & Byington Rd, Iowa City, IA 52246, USA",11/6/2015  20:17,1) OWI- 2nd Offense,41.6583201,-91.5436926
15011859,"Iowa City, IA, USA",11/6/2015  18:35,1) Tobacco - Providing sale of tobacco products to a minor,41.6611277,-91.5301683
15011851,"201 S Clinton St, Iowa City, IA 52240, USA",11/6/2015  16:06,"1) Violate no-contact, domestic abuse protective order",41.65926,-91.5353561
15011828,"200 S Linn St, Iowa City, IA 52240, USA",11/6/2015  01:53,"1) OWI
2) Possess Controlled Substance - Marijuana",41.658629,-91.531255
15011825,"S Gilbert St & Kirkwood Ave, Iowa City, IA 52240, USA",11/6/2015  00:14,1) OWI,41.6494413,-91.5320034
15011820,"Iowa City, IA, USA",11/5/2015  19:45,1) Tobacco - Providing sale of tobacco products to a minor,41.6611277,-91.5301683
15011819,"Iowa City, IA, USA",11/5/2015  19:30,1) Tobacco - Providing sale of tobacco products to a minor,41.6611277,-91.5301683
15011816,"2153 N Dodge St, Iowa City, IA 52243, USA",11/5/2015  18:05,1) Tobacco - Providing sale of tobacco products to a minor,41.6819746,-91.5065221
15011812,"401 E Market St, Iowa City, IA 52245, USA",11/5/2015  18:20,1) Tobacco - Providing sale of tobacco products to a minor,41.6633761,-91.5299034
15011809,"Iowa City, IA, USA",11/5/2015  17:55,1) Tobacco - Providing sale of tobacco products to a minor,41.6611277,-91.5301683
15011798,"S Gilbert St & Highland Ave, Iowa City, IA 52240, USA",11/5/2015  10:44,1) Drive while license under suspension/cancelled,41.6458615,-91.5320332
